%time,field.header.seq,field.header.stamp,field.header.frame_id,field.markers0.header.seq,field.markers0.header.stamp,field.markers0.header.frame_id,field.markers0.ns,field.markers0.id,field.markers0.type,field.markers0.action,field.markers0.pose.position.x,field.markers0.pose.position.y,field.markers0.pose.position.z,field.markers0.pose.orientation.x,field.markers0.pose.orientation.y,field.markers0.pose.orientation.z,field.markers0.pose.orientation.w,field.markers0.scale.x,field.markers0.scale.y,field.markers0.scale.z,field.markers0.color.r,field.markers0.color.g,field.markers0.color.b,field.markers0.color.a,field.markers0.lifetime,field.markers0.frame_locked,field.markers0.text,field.markers0.mesh_resource,field.markers0.mesh_use_embedded_materials,field.markers1.header.seq,field.markers1.header.stamp,field.markers1.header.frame_id,field.markers1.ns,field.markers1.id,field.markers1.type,field.markers1.action,field.markers1.pose.position.x,field.markers1.pose.position.y,field.markers1.pose.position.z,field.markers1.pose.orientation.x,field.markers1.pose.orientation.y,field.markers1.pose.orientation.z,field.markers1.pose.orientation.w,field.markers1.scale.x,field.markers1.scale.y,field.markers1.scale.z,field.markers1.color.r,field.markers1.color.g,field.markers1.color.b,field.markers1.color.a,field.markers1.lifetime,field.markers1.frame_locked,field.markers1.points0.x,field.markers1.points0.y,field.markers1.points0.z,field.markers1.points1.x,field.markers1.points1.y,field.markers1.points1.z,field.markers1.text,field.markers1.mesh_resource,field.markers1.mesh_use_embedded_materials
1643354238842628978,10163,1643354238838705062,radar_1,10163,1643354238838705062,radar_1,bbox,8,1,0,63.96875,-1.03125,0.0,0.0,0.0,0.0,1.0,3.5625,1.53125,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10163,1643354238838705062,radar_1,arrow,8,0,0,63.96875,-1.03125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354238883697692,10164,1643354238878648042,radar_1,10164,1643354238878648042,radar_1,bbox,8,1,0,63.828125,-1.015625,0.0,0.0,0.0,0.0,1.0,3.59375,1.515625,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10164,1643354238878648042,radar_1,arrow,8,0,0,63.828125,-1.015625,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354238939416110,10165,1643354238918922901,radar_1,10165,1643354238918922901,radar_1,bbox,8,1,0,63.703125,-0.96875,0.0,0.0,0.0,0.0,1.0,3.515625,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10165,1643354238918922901,radar_1,arrow,8,0,0,63.703125,-0.96875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-11.025,-0.9,0.0,,,0
1643354238963206403,10166,1643354238958827018,radar_1,10166,1643354238958827018,radar_1,bbox,8,1,0,63.59375,-0.984375,0.0,0.0,0.0,0.0,1.0,3.453125,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10166,1643354238958827018,radar_1,arrow,8,0,0,63.59375,-0.984375,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239003037607,10167,1643354238998815059,radar_1,10167,1643354238998815059,radar_1,bbox,8,1,0,63.46875,-0.984375,0.0,0.0,0.0,0.0,1.0,3.421875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10167,1643354238998815059,radar_1,arrow,8,0,0,63.46875,-0.984375,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239042330024,10168,1643354239038866996,radar_1,10168,1643354239038866996,radar_1,bbox,8,1,0,63.34375,-1.0,0.0,0.0,0.0,0.0,1.0,3.375,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10168,1643354239038866996,radar_1,arrow,8,0,0,63.34375,-1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239083334481,10169,1643354239078763008,radar_1,10169,1643354239078763008,radar_1,bbox,8,1,0,63.21875,-1.015625,0.0,0.0,0.0,0.0,1.0,3.328125,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10169,1643354239078763008,radar_1,arrow,8,0,0,63.21875,-1.015625,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239129507636,10170,1643354239118926048,radar_1,10170,1643354239118926048,radar_1,bbox,8,1,0,63.109375,-1.03125,0.0,0.0,0.0,0.0,1.0,3.296875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10170,1643354239118926048,radar_1,arrow,8,0,0,63.109375,-1.03125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239163501467,10171,1643354239158807992,radar_1,10171,1643354239158807992,radar_1,bbox,8,1,0,62.984375,-1.03125,0.0,0.0,0.0,0.0,1.0,3.25,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10171,1643354239158807992,radar_1,arrow,8,0,0,62.984375,-1.03125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239202995901,10172,1643354239198818922,radar_1,10172,1643354239198818922,radar_1,bbox,8,1,0,62.859375,-1.046875,0.0,0.0,0.0,0.0,1.0,3.21875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10172,1643354239198818922,radar_1,arrow,8,0,0,62.859375,-1.046875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
